uid,dt-created,dt-modified,event-dt-begin,event-dt-end,event-location,title,link
"20120211155819","2012-02-11 15:58:19 GMT","2017-05-04 15:43:52 GMT","2012-02-11","2012-05-28","Gemeentemuseum Den Haag","Alexander Calder","http://www.gemeentemuseum.nl/index.php?id=37076&langId=en"
"20120216083808","2012-02-16 08:38:08 GMT","2012-03-21 08:35:19 GMT","2012-02-14","2012-05-28","Louisiana Museum of Modern Art, Humlebæk","Women of the Avant-garde 1920-1940","http://www.louisiana.dk/uk/Menu/Exhibitions/Women+of+the+Avant-garde/Women+of+the+Avant-garde+1920-1940"
"20120216140701","2012-02-16 14:07:01 GMT","2012-03-21 08:36:13 GMT","2012-06-12","2012-09-16","Museo Nacional del Prado, Madrid","Late Raphael","http://www.museodelprado.es/en/exhibitions/exhibitions/at-the-museum/el-ultimo-rafael/"
"20120216144309","2012-02-16 14:43:09 GMT","2012-03-21 08:36:30 GMT","2012-02-15","2012-05-27","Dulwich Picture Gallery, London","Van Dyck in Sicily","http://www.dulwichpicturegallery.org.uk/exhibitions/now_on_show/van_dyck_in_sicily.aspx"
"20120216205126","2012-02-16 20:51:26 GMT","2012-04-14 09:33:19 GMT","2012-02-28","2012-05-27","Tate Modern, London","Alighiero Boetti: Game Plan","http://www.tate.org.uk/whats-on/tate-modern/exhibition/alighiero-boetti-game-plan"
"20120216205405","2012-02-16 20:54:05 GMT","2017-05-04 15:43:52 GMT","2012-02-15","2012-07-15","Tate Britain, London","Picasso and Modern British Art","http://www.tate.org.uk/whats-on/tate-britain/exhibition/picasso-modern-british-art"
"20120216205838","2012-02-16 20:58:38 GMT","2012-03-22 13:25:55 GMT","2012-02-16","2012-05-20","Courtauld Gallery, London","Mondrian Nicholson In Parallel","http://www.courtauld.ac.uk/gallery/exhibitions/2012/mondrian-nicholson/index.shtml"
"20120216210350","2012-02-16 21:03:50 GMT","2012-03-22 13:26:50 GMT","2012-03-14","2012-06-05","National Gallery, London","Turner Inspired: In the Light of Claude","http://www.nationalgallery.org.uk/whats-on/exhibitions/turner-inspired"
"20120216210927","2012-02-16 21:09:27 GMT","2012-03-21 08:59:36 GMT","2012-02-14","2012-05-20","Museo Thyssen-Bornemisza, Madrid","Chagall","http://www.museothyssen.org/microsites/exposiciones/2012/chagall/ficha_en.html#ancla"
"20120217211532","2012-02-17 21:15:32 GMT","2012-03-22 13:27:19 GMT","2012-01-29","2012-05-13","Fondation Beyeler, Basel","Pierre Bonnard","http://www.fondationbeyeler.ch/ausstellungen/pierre-bonnard/einleitung-0"
"20120217213140","2012-02-17 21:31:40 GMT","2012-03-04 09:40:44 GMT","2012-10-16","2013-02-28","Von der Heydt Museum, Wuppertal","Rubens","http://www.rubens-ausstellung.de/"
"20120217213523","2012-02-17 21:35:23 GMT","2012-02-19 12:03:12 GMT","2012-03-13","2012-07-01","Musée d'Orsay, Paris","Degas and the Nude","http://www.musee-orsay.fr/en/events/exhibitions/in-the-musee-dorsay/exhibitions-in-the-musee-dorsay/article/degas-et-le-nu-30632.html?tx_ttnews%5BbackPid%5D=254&cHash=f2a0257974"
"20120218162611","2012-02-18 16:26:11 GMT","2012-02-20 10:50:08 GMT","2012-01-25","2012-05-27","Dulwich Picture Gallery, London","Ragamala Paintings from India","http://www.dulwichpicturegallery.org.uk/exhibitions/now_on_show/ragamala_paintings_from_india.aspx"
"20120219113735","2012-02-19 11:37:35 GMT","2012-03-13 11:30:20 GMT","2012-08-31","2012-12-30","Wallraf-Richartz Museum, Köln","1912 – Mission Moderne","http://www.wallraf.museum/index.php?id=337&L=1"
"20120219225203","2012-02-19 22:52:03 GMT","2013-03-21 07:15:26 GMT","2012-03-07","2013-08-12","Centre Pompidou, Metz","Sol LeWitt – Wall Drawings from 1968 to 2007","http://www.centrepompidou-metz.fr/en/sol-lewitt-wall-drawings-1968-2007"
"20120219230709","2012-02-19 23:07:09 GMT","2012-03-13 11:39:48 GMT","2012-02-03","2012-05-06","Städel Museum, Frankfurt","Claude Lorrain – The Enchanted Landscape","http://www.staedelmuseum.de/sm/index.php?StoryID=1354&websiteLang=en"
"20120219232542","2012-02-19 23:25:42 GMT","2012-03-13 11:39:16 GMT","2012-04-04","2012-06-25","Musée du Louvre, Paris","Les Belles Heures du duc de Berry","http://www.louvre.fr/en/expositions/belles-heures-jean-de-france-duc-de-berry"
"20120220102013","2012-02-20 10:20:13 GMT","2012-06-21 06:40:54 GMT","2012-06-21","2012-10-14","M Leuven","Sol LeWitt – Colors","http://www.mleuven.be/en/contemporary-art/sol-lewitt/"
"20120220104714","2012-02-20 10:47:14 GMT","2012-05-17 07:13:42 GMT","2012-05-17","2012-08-27","Ashmolean Museum, Oxford","The English Prize","http://www.ashmolean.org/exhibitions/westmorland/"
"20120220131300","2012-02-20 13:13:00 GMT","2012-03-28 18:33:40 GMT","2012-05-15","2012-09-30","Museo Guggenheim, Bilbao","David Hockney: A Bigger Picture","http://www.guggenheim-bilbao.es/secciones/programacion_artistica/nombre_exposicion_claves.php?idioma=en&id_exposicion=147"
"20120220133211","2012-02-20 13:32:11 GMT","","2012-04-13","2012-08-19","Musée d'Art Moderne de la Ville de Paris","Robert Crumb","http://www.mam.paris.fr/en/expositions/crumb"
"20120220133525","2012-02-20 13:35:25 GMT","2012-05-06 12:28:00 GMT","2011-11-10","2012-06-10","Musée d'Art Moderne de la Ville de Paris","Giorgio de Chirico","http://www.mam.paris.fr/en/expositions/presentation-isabella-pakszwer-de-chirico-legacy"
"20120220195432","2012-02-20 19:54:32 GMT","2012-03-21 09:27:42 GMT","2012-02-09","2012-05-27","National Portrait Gallery, London","Lucian Freud – Portraits","http://www.npg.org.uk/freudsite/index.htm"
"20120220225112","2012-02-20 22:51:12 GMT","2012-04-25 12:44:35 GMT","2012-02-09","2012-05-28","Schirn Kunsthalle, Frankfurt","Munch – The Modern Eye","http://www.munch-in-frankfurt.de/index.php"
"20120221083305","2012-02-21 08:33:05 GMT","2012-05-15 08:44:26 GMT","2012-06-20","2012-09-23","Schirn Kunsthalle, Frankfurt","Jeff Koons. The Painter","http://www.schirn.de/en/exhibitions/2012/jeff-koons/koons-exhibition.html"
"20120221083525","2012-02-21 08:35:25 GMT","2012-10-18 19:45:05 GMT","2012-10-18","2013-01-20","Schirn Kunsthalle, Frankfurt","Gustave Caillebotte: an impressionist and photography","http://www.schirn.de/en/exhibitions/2012/gustave-caillebotte.html"
"20120221084232","2012-02-21 08:42:32 GMT","2012-04-14 09:28:40 GMT","2012-04-04","2012-09-09","Tate Modern, London","Damien Hirst","http://www.tate.org.uk/whats-on/tate-modern/exhibition/damien-hirst"
"20120221084452","2012-02-21 08:44:52 GMT","2012-04-14 09:28:11 GMT","2012-06-28","2012-10-14","Tate Modern, London","Munch – The Modern Eye","http://www.tate.org.uk/whats-on/tate-modern/exhibition/edvard-munch-modern-eye"
"20120221093311","2012-02-21 09:33:11 GMT","2012-06-08 07:48:57 GMT","2012-11-14","2013-04-01","Tate Modern, London","A Bigger Splash","http://www.tate.org.uk/whats-on/tate-modern/exhibition/bigger-splash-painting-after-performance-art"
"20120221215227","2012-02-21 21:52:27 GMT","2012-06-06 07:13:31 GMT","2012-06-06","2012-10-14","Museum Tinguely, Basel","Vladimir Tatlin ","http://www.tinguely.ch/de/ausstellungen_events/austellungen/2012/Tatlin.html"
"20120222103545","2012-02-22 10:35:45 GMT","","2011-10-15","2012-05-01","Vitra Design Museum, Weil am Rhein","Rudolf Steiner – Alchemy of the Everyday","http://www.design-museum.de/museum/ausstellungen/steiner/index.php"
"20120222210610","2012-02-22 21:06:10 GMT","2012-09-29 08:28:14 GMT","2012-09-28","2013-01-06","Teylers Museum, Haarlem","Raphael","http://www.teylersmuseum.eu/rafael/index.php?lang=en"
"20120222234957","2012-02-22 23:49:57 GMT","2012-05-06 12:28:51 GMT","2012-04-28","2012-08-12","Museum Kunstpalast, Düsseldorf","El Greco and Modernism","http://www.smkp.de/en/exhibitions/current/el-greco.html"
"20120223223321","2012-02-23 22:33:21 GMT","2012-02-27 14:30:34 GMT","2012-06-11","2012-09-23","Museo de Bellas Artes de Bilbao","Goya: Prints of invention","http://www.museobilbao.com/in/exposiciones/goya-prints-of-invention-185"
"20120227143459","2012-02-27 14:34:59 GMT","2014-04-24 09:16:48 GMT","2012-02-16","2012-05-20","Palazzo Reale, Milano","Titian and the birth of the modern landscape","http://www.mostratiziano.it/info.php"
"20120229174527","2012-02-29 17:45:27 GMT","2014-04-24 09:16:27 GMT","2012-03-08","2012-07-29","Musée Marmottan Monet, Paris","Berthe Morisot","http://www.marmottan.com/francais/expositions/expositions-en-cours.asp"
"20120229214626","2012-02-29 21:46:26 GMT","2014-04-24 09:16:10 GMT","2012-03-23","2012-07-23","Musée Jacquemart-André, Paris","The Twilight of the Pharaohs","http://www.musee-jacquemart-andre.com/en/events/twilight-pharaohs"
"20120301131206","2012-03-01 13:12:06 GMT","2014-04-17 06:14:44 GMT","2013-10-09","2014-05-18","Musée Zadkine, Paris","Prokudin-Gorsky: Voyage dans l’ancienne Russie","http://parismusees.paris.fr/en/exhibition/voyage-through-traditional-russia"
"20120302083004","2012-03-02 08:30:04 GMT","2013-02-02 11:26:58 GMT","2012-06-12","2012-09-16","Museo Thyssen-Bornemisza, Madrid","Edward Hopper","http://www.museothyssen.org/microsites/exposiciones/2012/hopper/"
"20120302083331","2012-03-02 08:33:31 GMT","2013-02-02 11:27:12 GMT","2012-10-09","2013-01-13","Museo Thyssen-Bornemisza, Madrid","Gauguin and the voyage to the exotic","http://www.museothyssen.org/en/thyssen/exposiciones_proximas/89"
"20120302090357","2012-03-02 09:03:57 GMT","","2012-02-10","2012-05-27","Sternberg Palace, Prague","Rembrandt & Co.","http://www.ngprague.cz/en/10/0/4044/sekce/rembrandt-co-stories-told-by-a-prosperous-age/"
"20120302093249","2012-03-02 09:32:49 GMT","2014-04-24 09:17:15 GMT","2012-05-13","2012-09-02","Fondation Beyeler, Basel","Jeff Koons","http://www.fondationbeyeler.ch/en/exhibitions/jeff-koons/introduction"
"20120302093422","2012-03-02 09:34:22 GMT","2014-04-24 09:17:21 GMT","2012-09-30","2013-01-27","Fondation Beyeler, Basel","Edgar Degas","http://www.fondationbeyeler.ch/ausstellungen/edgar-degas/einleitung"
"20120302184938","2012-03-02 18:49:38 GMT","2012-05-06 12:29:12 GMT","2012-02-24","2012-08-27","Leopold Museum, Wien","Klimt: Up Close and Personal","http://www.leopoldmuseum.org/en/exhibitions/43/klimt-up-close-and-personal"
"20120302185148","2012-03-02 18:51:48 GMT","2012-05-06 12:29:26 GMT","2012-03-14","2012-06-10","Albertina, Wien","Gustav Klimt – The Drawings","http://albertina.at/jart/prj3/albertina/main.jart?rel=en&content-id=1202307119260&reserve-mode=active&ausstellungen_id=1287026238568"
"20120303181933","2012-03-03 18:19:33 GMT","2012-03-03 18:29:30 GMT","2012-03-03","2012-06-24","Museum De Pont, Tilburg","Ai Weiwei","http://www.depont.nl/nc/en/exhibitions/program/release/pers/ai-weiwei/"
"20120304090840","2012-03-04 09:08:40 GMT","2013-03-04 07:53:40 GMT","2012-03-13","2012-06-10","Von der Heydt Museum, Wuppertal","Der Sturm","http://www.der-sturm-ausstellung.de/"
"20120304094347","2012-03-04 09:43:47 GMT","2013-03-04 07:53:23 GMT","2012-10-13","2013-02-03","Vitra Design Museum, Weil am Rhein","Pop Art Design","http://www.design-museum.de/en/exhibitions/current-exhibitions.html"
"20120305201008","2012-03-05 20:10:08 GMT","2014-04-24 09:15:54 GMT","2012-03-31","2012-08-12","Victoria and Albert Museum, London","British Design 1948-2012","http://www.vam.ac.uk/content/exhibitions/exhibition-british-design/british-design-about-the-exhibition/"
"20120309105936","2012-03-09 10:59:36 GMT","2013-01-04 08:50:25 GMT","2012-10-03","2013-01-21","Musée de l'Orangerie, Paris","Chaïm Soutine","http://www.musee-orangerie.fr/pages/page_id19505_u1l2.htm"
